name,deliver_time,deliver_fee,rating,status
Hong Kong Eatery 香港小食,40–55 min,$0.49,4.6,open
Dumpling Palace,35–50 min,$0.49,4.6,open
Winsor Dim Sum House,45–60 min, ,4.7,open
六婆串串香 Six Po Hot Pot,55–70 min,$0.49,4.8,open
Tin Tin Restaurant 天天餐廳,35–50 min,$0.49,4.7,open
Canton Eatery,30–45 min,$0.49,4.8,open
Brigham Circle Chinese Food,35–50 min,$0.49,4.4,open
Royal East Restaurant,25–40 min,$0.49,4.7,open
Jenny’s House,10 mi,,New,closed: Available Tuesday 11:00 AM
Wong's of Boston,,,4.3,closed: Available Tuesday 9:15 AM
Wong's Kitchen ,,,New,closed: Available Tuesday 9:15 AM
Golden Temple,,,4.6,closed: Available Tuesday 3:40 PM
3 Fortunes Chinese Restaurant,,,4.7,closed: Available Tuesday 11:00 AM
Happy Kitchen,6.6 mi,,4.7,closed: Available Tuesday 11:30 AM
